tokenizer,macro_f1,accuracy,language
bpe,0.6433585941936398,0.7101546738399462,Amharic
unigram,0.6328438837701267,0.7000672494956288,Amharic
word,0.5672780029594798,0.6415601882985877,Amharic
bpe,0.7036322480904024,0.7676529926025555,English
unigram,0.7117551096826152,0.765635507733692,English
word,0.6830255332637699,0.7568930733019502,English
bpe,0.6971092879908594,0.7387357094821789,Swahili
unigram,0.7086732540266814,0.746133154001345,Swahili
word,0.6724546332345805,0.7158708809683927,Swahili
bpe,0.6945048627737439,0.7488231338264963,Turkish
unigram,0.6667741047688183,0.7387357094821789,Turkish
word,0.5965190967554914,0.6597175521183591,Turkish
